layer,difficulty,dist_to_boundary_m,gold_label,exact_label,exact_correct,bs_label,bs_correct,bs_abstain,bs_confidence,risk_label,risk_correct,risk_abstain,dist_bin
tract,hard,82.49365501652971,39035177304,39035177304,True,39035177304,True,False,1.0,39035177304,True,False,50-100m
tract,easy,875.2414253119914,39125960500,39125960500,True,39125960500,True,False,1.0,39125960500,True,False,>500m
tract,easy,565.237896602581,12086000402,12086000402,True,12086000402,True,False,1.0,12086000402,True,False,>500m
tract,easy,575.8860672255274,39061021801,39061021801,True,39061021801,True,False,1.0,39061021801,True,False,>500m
county,easy,22704.010488471373,12123,12123,True,12123,True,False,1.0,12123,True,False,>500m
tract,easy,270.56925571576966,48201410101,48201410101,True,48201410101,True,False,1.0,48201410101,True,False,100-500m
zcta,medium,264.8917940335489,75969,75969,True,75969,True,False,1.0,75969,True,False,100-500m
county,medium,329.54318698111723,12009,12009,True,12009,True,False,1.0,12009,True,False,100-500m
tract,medium,179.82987576962717,39013011600,39013011600,True,39013011600,True,False,1.0,39013011600,True,False,100-500m
zcta,easy,447.16970378633675,11237,11237,True,11237,True,False,1.0,11237,True,False,100-500m
county,hard,63.05271153680156,12059,12059,True,12059,True,False,1.0,12059,True,False,50-100m
tract,medium,243.49255685518867,13113140303,13113140303,True,13113140303,True,False,1.0,13113140303,True,False,100-500m
zcta,easy,3619.2366364046607,75969,75969,True,75969,True,False,1.0,75969,True,False,>500m
tract,hard,94.06134058762224,48061013902,48061013902,True,48061013902,True,False,1.0,48061013902,True,False,50-100m
county,medium,429.19891515455737,39013,39013,True,39013,True,False,1.0,39013,True,False,100-500m
tract,easy,512.3430064108096,39099810700,39099810700,True,39099810700,True,False,1.0,39099810700,True,False,>500m
tract,hard,38.26214041157691,12101032001,12101032001,True,12101032001,True,False,1.0,12101032001,True,False,25-50m
county,hard,63.951104826265095,39123,39123,True,39123,True,False,1.0,39123,True,False,50-100m
zcta,easy,2746.793132260615,95685,95685,True,95685,True,False,1.0,95685,True,False,>500m
tract,medium,144.63587301351987,48439114105,48439114105,True,48439114105,True,False,1.0,48439114105,True,False,100-500m
zcta,medium,215.3412374166367,78565,78565,True,78565,True,False,1.0,78565,True,False,100-500m
zcta,hard,99.94707339840737,33855,33855,True,33855,True,False,1.0,33855,True,False,50-100m
county,boundary,7.164456626889826,48357,48357,True,48357,True,True,0.66,,False,True,0-10m
zcta,hard,67.40325783477904,96056,96056,True,96056,True,False,1.0,96056,True,False,50-100m
tract,hard,74.53780411746884,48167721211,48167721211,True,48167721211,True,False,1.0,48167721211,True,False,50-100m
county,easy,11022.483160076434,48177,48177,True,48177,True,False,1.0,48177,True,False,>500m
county,easy,5803.178901465259,39015,39015,True,39015,True,False,1.0,39015,True,False,>500m
county,hard,38.720633853952904,48229,48229,True,48229,True,False,1.0,48229,True,False,25-50m
tract,easy,565.8755414442096,39049006398,39049006398,True,39049006398,True,False,1.0,39049006398,True,False,>500m
tract,hard,18.236372226249976,39033975200,39033975200,True,39033975200,True,False,0.98,,False,True,10-25m
tract,easy,228.58848355784502,12099003902,12099003902,True,12099003902,True,False,1.0,12099003902,True,False,100-500m
zcta,easy,1360.1553769575805,12945,12945,True,12945,True,False,1.0,12945,True,False,>500m
county,boundary,9.554030864635331,12015,12015,True,12015,True,True,0.79,,False,True,0-10m
zcta,boundary,6.729071594310537,33175,33175,True,33175,True,True,0.64,,False,True,0-10m
county,boundary,7.168110695246372,48085,48085,True,48085,True,True,0.69,,False,True,0-10m
tract,medium,225.1406581363312,12019031101,12019031101,True,12019031101,True,False,1.0,12019031101,True,False,100-500m
tract,hard,51.0720737168505,12033002802,12033002802,True,12033002802,True,False,1.0,12033002802,True,False,50-100m
county,hard,93.91994724726709,48207,48207,True,48207,True,False,1.0,48207,True,False,50-100m
zcta,easy,1037.4432872649054,79566,79566,True,79566,True,False,1.0,79566,True,False,>500m
county,easy,6307.201217677543,39101,39101,True,39101,True,False,1.0,39101,True,False,>500m
zcta,boundary,9.892976097847257,31068,31068,True,31068,True,True,0.78,,False,True,0-10m
zcta,easy,278.4994301563569,18081,18081,True,18081,True,False,1.0,18081,True,False,100-500m
tract,easy,211.76864023179502,13063040525,13063040525,True,13063040525,True,False,1.0,13063040525,True,False,100-500m
county,easy,5990.83492929302,48071,48071,True,48071,True,False,1.0,48071,True,False,>500m
county,hard,29.89541685079299,48383,48383,True,48383,True,False,1.0,48383,True,False,25-50m
tract,hard,32.78023336293101,12009990000,12009990000,True,12009990000,True,False,1.0,12009990000,True,False,25-50m
county,medium,105.85361797269015,06041,06041,True,06041,True,False,1.0,06041,True,False,100-500m
tract,hard,27.645433923363083,13011970300,13011970300,True,13011970300,True,False,1.0,13011970300,True,False,25-50m
county,hard,59.41212649639959,13003,13003,True,13003,True,False,1.0,13003,True,False,50-100m
zcta,easy,1230.6955243698094,45659,45659,True,45659,True,False,1.0,45659,True,False,>500m
zcta,hard,24.6619869043396,86431,86431,True,86431,True,False,1.0,,False,True,10-25m
tract,boundary,8.103944325442146,48201440102,48201440102,True,48201440102,True,True,0.8,,False,True,0-10m
tract,medium,198.55094590597008,48113019214,48113019214,True,48113019214,True,False,1.0,48113019214,True,False,100-500m
tract,medium,117.2134167560359,36029011000,36029011000,True,36029011000,True,False,1.0,36029011000,True,False,100-500m
county,easy,17473.991660182477,06047,06047,True,06047,True,False,1.0,06047,True,False,>500m
tract,boundary,8.009215206569532,48303002002,48303002002,True,48303002002,True,True,0.76,,False,True,0-10m
tract,medium,348.2139035190344,12041950203,12041950203,True,12041950203,True,False,1.0,12041950203,True,False,100-500m
zcta,easy,726.3655691786754,44628,44628,True,44628,True,False,1.0,44628,True,False,>500m
zcta,easy,762.7739842552578,33965,33965,True,33965,True,False,1.0,33965,True,False,>500m
county,boundary,9.859721101053237,48337,48337,True,48337,True,True,0.82,,False,True,0-10m
zcta,easy,746.4859484102624,10989,10989,True,10989,True,False,1.0,10989,True,False,>500m
zcta,easy,2116.434900306253,75169,75169,True,75169,True,False,1.0,75169,True,False,>500m
tract,medium,385.33456407840583,48181000101,48181000101,True,48181000101,True,False,1.0,48181000101,True,False,100-500m
tract,hard,93.53570404709575,39097040600,39097040600,True,39097040600,True,False,1.0,39097040600,True,False,50-100m
zcta,medium,345.6781990239105,14521,14521,True,14521,True,False,1.0,14521,True,False,100-500m
county,hard,65.4833159318977,17011,17011,True,17011,True,False,1.0,17011,True,False,50-100m
zcta,edge,87.33490539179535,77713,77713,True,77713,True,False,1.0,77713,True,False,50-100m
county,medium,200.66114262416465,48149,48149,True,48149,True,False,1.0,48149,True,False,100-500m
zcta,hard,71.01668811332145,92372,92372,True,92372,True,False,1.0,92372,True,False,50-100m
tract,easy,544.3925341193757,42089300700,42089300700,True,42089300700,True,False,1.0,42089300700,True,False,>500m
tract,medium,143.1499422193606,53077001802,53077001802,True,53077001802,True,False,1.0,53077001802,True,False,100-500m
county,hard,74.96997109258552,48423,48423,True,48423,True,False,1.0,48423,True,False,50-100m
county,hard,84.97447413971202,48243,48243,True,48243,True,False,1.0,48243,True,False,50-100m
county,easy,1663.2987241662352,42133,42133,True,42133,True,False,1.0,42133,True,False,>500m
county,medium,367.27867442426725,48213,48213,True,48213,True,False,1.0,48213,True,False,100-500m
tract,medium,277.8166506499981,12109020200,12109020200,True,12109020200,True,False,1.0,12109020200,True,False,100-500m
tract,hard,89.64812875850532,36043010100,36043010100,True,36043010100,True,False,1.0,36043010100,True,False,50-100m
county,edge,23.187177238655572,13193,13193,True,13193,True,False,1.0,,False,True,10-25m
county,easy,1142.1979991596845,48287,48287,True,48287,True,False,1.0,48287,True,False,>500m
county,easy,8989.5659478696,39103,39103,True,39103,True,False,1.0,39103,True,False,>500m
tract,hard,17.28272366615336,12057010900,12057010900,True,12057010900,True,False,0.99,,False,True,10-25m
county,easy,1558.4361512129128,48157,48157,True,48157,True,False,1.0,48157,True,False,>500m
county,easy,14542.295145436125,48237,48237,True,48237,True,False,1.0,48237,True,False,>500m
tract,easy,219.6443755189804,17031640400,17031640400,True,17031640400,True,False,1.0,17031640400,True,False,100-500m
tract,boundary,4.5688103341492186,39155930300,39155930300,True,39155930300,True,True,0.69,,False,True,0-10m
tract,easy,1484.7269616893564,36045061102,36045061102,True,36045061102,True,False,1.0,36045061102,True,False,>500m
zcta,medium,201.0385258324996,34101,34101,True,34101,True,False,1.0,34101,True,False,100-500m
zcta,easy,781.9242278017693,15865,15865,True,15865,True,False,1.0,15865,True,False,>500m
tract,edge,57.20047028679933,48133950302,48133950302,True,48133950302,True,False,1.0,48133950302,True,False,50-100m
county,medium,227.35663968013102,48341,48341,True,48341,True,False,1.0,48341,True,False,100-500m
county,medium,386.70102136521774,48363,48363,True,48363,True,False,1.0,48363,True,False,100-500m
tract,medium,133.42731339083412,12005002712,12005002712,True,12005002712,True,False,1.0,12005002712,True,False,100-500m
tract,hard,65.79744657960703,48491020108,48491020108,True,48491020108,True,False,1.0,48491020108,True,False,50-100m
zcta,easy,1189.6484917594264,17565,17565,True,17565,True,False,1.0,17565,True,False,>500m
county,hard,68.11619010235394,36049,36049,True,36049,True,False,1.0,36049,True,False,50-100m
tract,medium,123.8258253107947,06001441200,06001441200,True,06001441200,True,False,1.0,06001441200,True,False,100-500m
zcta,easy,3812.369171469763,75481,75481,True,75481,True,False,1.0,75481,True,False,>500m
zcta,boundary,3.4680484594483576,86434,86434,True,86434,True,True,0.63,,False,True,0-10m
county,hard,92.41819734971237,48185,48185,True,48185,True,False,1.0,48185,True,False,50-100m
tract,boundary,0.6230915877744889,13245010904,13245010904,True,13245010904,True,True,0.55,,False,True,0-10m
tract,easy,556.1091389000942,12099000513,12099000513,True,12099000513,True,False,1.0,12099000513,True,False,>500m
county,boundary,5.184995135856519,12117,12117,True,12117,True,True,0.69,,False,True,0-10m
tract,boundary,9.962513523560709,06061023800,06061023800,True,06061023800,True,True,0.82,,False,True,0-10m
zcta,easy,731.9122262542459,44866,44866,True,44866,True,False,1.0,44866,True,False,>500m
county,easy,16842.0575760051,48331,48331,True,48331,True,False,1.0,48331,True,False,>500m
zcta,easy,135.60111588672316,43836,43836,True,43836,True,False,1.0,43836,True,False,100-500m
tract,easy,1753.0495714613733,48469001607,48469001607,True,48469001607,True,False,1.0,48469001607,True,False,>500m
tract,easy,513.8440836880421,36081097202,36081097202,True,36081097202,True,False,1.0,36081097202,True,False,>500m
tract,hard,56.39111156094045,48201550101,48201550101,True,48201550101,True,False,1.0,48201550101,True,False,50-100m
zcta,hard,56.53133076649953,33569,33569,True,33569,True,False,1.0,33569,True,False,50-100m
tract,hard,84.57061189601916,12099001301,12099001301,True,12099001301,True,False,1.0,12099001301,True,False,50-100m
tract,medium,366.83219390211303,48241950600,48241950600,True,48241950600,True,False,1.0,48241950600,True,False,100-500m
county,hard,13.19234316595687,39045,39045,True,39045,True,True,0.83,,False,True,10-25m
tract,easy,781.9124092078653,39153531001,39153531001,True,39153531001,True,False,1.0,39153531001,True,False,>500m
tract,hard,22.46493975909273,48249950202,48249950202,True,48249950202,True,False,1.0,,False,True,10-25m
county,easy,2178.099782840402,39093,39093,True,39093,True,False,1.0,39093,True,False,>500m
tract,medium,406.84383912098605,12117021404,12117021404,True,12117021404,True,False,1.0,12117021404,True,False,100-500m
zcta,hard,91.54047565755056,44555,44555,True,44555,True,False,1.0,44555,True,False,50-100m
tract,hard,12.861853959598324,39035105500,39035105500,True,39035105500,True,True,0.86,,False,True,10-25m
zcta,boundary,0.10397510769293605,12429,12429,True,12429,True,True,0.54,,False,True,0-10m
county,easy,739.704827179511,48091,48091,True,48091,True,False,1.0,48091,True,False,>500m
zcta,hard,82.03679038606099,43337,43337,True,43337,True,False,1.0,43337,True,False,50-100m
county,hard,70.97036492555117,39051,39051,True,39051,True,False,1.0,39051,True,False,50-100m
county,hard,14.808305462190189,12021,12021,True,12021,True,False,0.9,,False,True,10-25m
county,boundary,5.254111709233893,17087,17087,True,17087,True,True,0.65,,False,True,0-10m
zcta,hard,18.808232693890474,77433,77433,True,77433,True,False,1.0,,False,True,10-25m
tract,medium,202.4933076367142,39127965801,39127965801,True,39127965801,True,False,1.0,39127965801,True,False,100-500m
tract,hard,30.47188812365533,48251130417,48251130417,True,48251130417,True,False,1.0,48251130417,True,False,25-50m
zcta,medium,104.3126837343921,32697,32697,True,32697,True,False,1.0,32697,True,False,100-500m
tract,boundary,6.537512563235835,06037577300,06037577300,True,06037577300,True,True,0.76,,False,True,0-10m
zcta,easy,516.4284899333185,78416,78416,True,78416,True,False,1.0,78416,True,False,>500m
tract,hard,89.48404124854812,12009062800,12009062800,True,12009062800,True,False,1.0,12009062800,True,False,50-100m
zcta,hard,36.36604115608645,77089,77089,True,77089,True,False,1.0,77089,True,False,25-50m
zcta,easy,193.4759041570132,61359,61359,True,61359,True,False,1.0,61359,True,False,100-500m
county,easy,9390.344139902305,48021,48021,True,48021,True,False,1.0,48021,True,False,>500m
county,boundary,0.15640121052764117,48237,48237,True,48337,False,True,0.51,,False,True,0-10m
county,edge,35.70003084814669,13231,13231,True,13231,True,False,1.0,13231,True,False,25-50m
zcta,edge,39.34600651471616,77381,77381,True,77381,True,False,1.0,77381,True,False,25-50m
county,medium,329.1720887283534,12117,12117,True,12117,True,False,1.0,12117,True,False,100-500m
tract,hard,78.57790498664515,39049006393,39049006393,True,39049006393,True,False,1.0,39049006393,True,False,50-100m
zcta,boundary,4.818037357591706,32128,32128,True,32128,True,True,0.67,,False,True,0-10m
county,boundary,9.974442696288055,48173,48173,True,48173,True,True,0.78,,False,True,0-10m
county,boundary,0.1153139454910606,48281,48281,True,48281,True,True,0.51,,False,True,0-10m
tract,easy,124.16106020142269,48201551901,48201551901,True,48201551901,True,False,1.0,48201551901,True,False,100-500m
county,medium,222.79176102904518,48055,48055,True,48055,True,False,1.0,48055,True,False,100-500m
tract,medium,394.1331697569196,06071002111,06071002111,True,06071002111,True,False,1.0,06071002111,True,False,100-500m
zcta,easy,192.07225352353768,15088,15088,True,15088,True,False,1.0,15088,True,False,100-500m
county,hard,40.23989013021709,48237,48237,True,48237,True,False,1.0,48237,True,False,25-50m
zcta,boundary,1.0883894329397747,43519,43519,True,43519,True,True,0.57,,False,True,0-10m
county,medium,389.67116520317836,48491,48491,True,48491,True,False,1.0,48491,True,False,100-500m
tract,hard,29.587367119752923,48085031508,48085031508,True,48085031508,True,False,1.0,48085031508,True,False,25-50m
tract,medium,105.92018590152688,39165031100,39165031100,True,39165031100,True,False,1.0,39165031100,True,False,100-500m
county,easy,2581.452675380707,48251,48251,True,48251,True,False,1.0,48251,True,False,>500m
tract,hard,97.06070065785345,39089756201,39089756201,True,39089756201,True,False,1.0,39089756201,True,False,50-100m
tract,medium,389.7765306564211,48027021501,48027021501,True,48027021501,True,False,1.0,48027021501,True,False,100-500m
tract,medium,190.51277728084563,12086010205,12086010205,True,12086010205,True,False,1.0,12086010205,True,False,100-500m
zcta,medium,309.01519896707725,76426,76426,True,76426,True,False,1.0,76426,True,False,100-500m
county,medium,260.3461710734942,48181,48181,True,48181,True,False,1.0,48181,True,False,100-500m
tract,easy,1289.067041224109,48141010203,48141010203,True,48141010203,True,False,1.0,48141010203,True,False,>500m
tract,hard,73.21508729278102,48201254200,48201254200,True,48201254200,True,False,1.0,48201254200,True,False,50-100m
tract,easy,1119.3778704227448,48303010423,48303010423,True,48303010423,True,False,1.0,48303010423,True,False,>500m
county,boundary,0.23201523400324178,48175,48175,True,48175,True,True,0.56,,False,True,0-10m
tract,medium,401.25727635322,39169001300,39169001300,True,39169001300,True,False,1.0,39169001300,True,False,100-500m
county,hard,82.53100846787314,48163,48163,True,48163,True,False,1.0,48163,True,False,50-100m
tract,medium,114.64363860275905,06107000203,06107000203,True,06107000203,True,False,1.0,06107000203,True,False,100-500m
county,medium,305.4128457020385,39133,39133,True,39133,True,False,1.0,39133,True,False,100-500m
tract,hard,67.9645452788839,12011020211,12011020211,True,12011020211,True,False,1.0,12011020211,True,False,50-100m
zcta,hard,94.12991362393322,91345,91345,True,91345,True,False,1.0,91345,True,False,50-100m
county,easy,2024.4853910239594,06103,06103,True,06103,True,False,1.0,06103,True,False,>500m
zcta,easy,3985.32471201358,78387,78387,True,78387,True,False,1.0,78387,True,False,>500m
tract,medium,325.54109810144524,48201332000,48201332000,True,48201332000,True,False,1.0,48201332000,True,False,100-500m
tract,boundary,6.805340024116208,12086019502,12086019502,True,12086019502,True,True,0.73,,False,True,0-10m
county,medium,114.38527471070405,48147,48147,True,48147,True,False,1.0,48147,True,False,100-500m
county,easy,1711.6613759019438,48155,48155,True,48155,True,False,1.0,48155,True,False,>500m
zcta,hard,36.15504045344651,45864,45864,True,45864,True,False,1.0,45864,True,False,25-50m
county,boundary,3.713183856419379,12043,12043,True,12043,True,True,0.57,,False,True,0-10m
tract,easy,591.7879100165574,48491020351,48491020351,True,48491020351,True,False,1.0,48491020351,True,False,>500m
zcta,easy,1252.501040335033,15345,15345,True,15345,True,False,1.0,15345,True,False,>500m
zcta,easy,2328.373575387384,17837,17837,True,17837,True,False,1.0,17837,True,False,>500m
county,hard,90.15197093082709,13075,13075,True,13075,True,False,1.0,13075,True,False,50-100m
tract,medium,166.86404713965052,12011060212,12011060212,True,12011060212,True,False,1.0,12011060212,True,False,100-500m
tract,medium,401.76355100123294,42029301600,42029301600,True,42029301600,True,False,1.0,42029301600,True,False,100-500m
tract,easy,541.1158239282794,06013345206,06013345206,True,06013345206,True,False,1.0,06013345206,True,False,>500m
county,boundary,7.512856472048072,53069,53069,True,53069,True,True,0.71,,False,True,0-10m
tract,hard,85.53309103975502,17111871310,17111871310,True,17111871310,True,False,1.0,17111871310,True,False,50-100m
county,easy,10026.56496344547,48399,48399,True,48399,True,False,1.0,48399,True,False,>500m
county,easy,1608.9254227946958,48361,48361,True,48361,True,False,1.0,48361,True,False,>500m
zcta,easy,699.4664295571678,60437,60437,True,60437,True,False,1.0,60437,True,False,>500m
zcta,hard,72.07025180607,76680,76680,True,76680,True,False,1.0,76680,True,False,50-100m
county,hard,72.23068220274506,48297,48297,True,48297,True,False,1.0,48297,True,False,50-100m
county,easy,1446.6241990373167,12045,12045,True,12045,True,False,1.0,12045,True,False,>500m
county,hard,53.56552572525257,48111,48111,True,48111,True,False,1.0,48111,True,False,50-100m
zcta,easy,908.6883907070556,75569,75569,True,75569,True,False,1.0,75569,True,False,>500m
county,easy,5122.8045465377145,39089,39089,True,39089,True,False,1.0,39089,True,False,>500m
tract,easy,573.2481428862002,39061005600,39061005600,True,39061005600,True,False,1.0,39061005600,True,False,>500m
zcta,easy,1363.5162816955726,76626,76626,True,76626,True,False,1.0,76626,True,False,>500m
zcta,hard,77.27323436923848,78374,78374,True,78374,True,False,1.0,78374,True,False,50-100m
tract,hard,22.6558249788021,13121010525,13121010525,True,13121010525,True,False,1.0,,False,True,10-25m
zcta,medium,458.76178277466994,78258,78258,True,78258,True,False,1.0,78258,True,False,100-500m
zcta,boundary,4.133652879136357,79101,79101,True,79102,False,True,0.54,,False,True,0-10m
county,easy,884.6265742298548,48049,48049,True,48049,True,False,1.0,48049,True,False,>500m
county,hard,37.17410001089281,48375,48375,True,48375,True,False,1.0,48375,True,False,25-50m
zcta,easy,790.7726266648764,32137,32137,True,32137,True,False,1.0,32137,True,False,>500m
county,hard,71.62047804556524,17159,17159,True,17159,True,False,1.0,17159,True,False,50-100m
county,medium,357.1530510535848,48183,48183,True,48183,True,False,1.0,48183,True,False,100-500m
tract,edge,83.76692643630028,48331950300,48331950300,True,48331950300,True,False,1.0,48331950300,True,False,50-100m
zcta,hard,14.980233632169687,17864,17864,True,17864,True,False,0.9,,False,True,10-25m
zcta,boundary,6.434563587999127,32092,32092,True,32092,True,True,0.62,,False,True,0-10m
tract,easy,534.3051148270057,12095016748,12095016748,True,12095016748,True,False,1.0,12095016748,True,False,>500m
tract,hard,60.39171284259088,48453042700,48453042700,True,48453042700,True,False,1.0,48453042700,True,False,50-100m
county,easy,1567.1471542507604,48091,48091,True,48091,True,False,1.0,48091,True,False,>500m
county,hard,95.54807479456657,48353,48353,True,48353,True,False,1.0,48353,True,False,50-100m
tract,easy,517.3880424787176,48113005901,48113005901,True,48113005901,True,False,1.0,48113005901,True,False,>500m
tract,easy,660.8804247688212,06029000912,06029000912,True,06029000912,True,False,1.0,06029000912,True,False,>500m
tract,easy,793.6938317963613,39029951700,39029951700,True,39029951700,True,False,1.0,39029951700,True,False,>500m
county,easy,11252.943969228028,48383,48383,True,48383,True,False,1.0,48383,True,False,>500m
zcta,easy,927.6655631857551,43902,43902,True,43902,True,False,1.0,43902,True,False,>500m
tract,hard,90.62521525143315,39083007702,39083007702,True,39083007702,True,False,1.0,39083007702,True,False,50-100m
county,easy,16983.041927310693,48263,48263,True,48263,True,False,1.0,48263,True,False,>500m
tract,easy,500.3156182274166,48027022900,48027022900,True,48027022900,True,False,1.0,48027022900,True,False,>500m
tract,medium,394.95788568793154,39095002500,39095002500,True,39095002500,True,False,1.0,39095002500,True,False,100-500m
zcta,medium,475.3819361770885,61108,61108,True,61108,True,False,1.0,61108,True,False,100-500m
tract,medium,361.5272328039796,12103024701,12103024701,True,12103024701,True,False,1.0,12103024701,True,False,100-500m
tract,boundary,6.935738891525614,06077005220,06077005220,True,06077005220,True,True,0.77,,False,True,0-10m
zcta,hard,69.72905890407641,45469,45469,True,45469,True,False,1.0,45469,True,False,50-100m
county,hard,55.27050130162438,36103,36103,True,36103,True,False,1.0,36103,True,False,50-100m
tract,boundary,8.879875172516035,48459950400,48459950400,True,48459950400,True,True,0.72,,False,True,0-10m
tract,medium,235.55118701433628,39003011400,39003011400,True,39003011400,True,False,1.0,39003011400,True,False,100-500m
tract,medium,416.49604577750205,12057013916,12057013916,True,12057013916,True,False,1.0,12057013916,True,False,100-500m
county,easy,1196.0838825667138,06033,06033,True,06033,True,False,1.0,06033,True,False,>500m
tract,medium,176.99406939592203,12095014809,12095014809,True,12095014809,True,False,1.0,12095014809,True,False,100-500m
county,medium,121.30541092038705,53059,53059,True,53059,True,False,1.0,53059,True,False,100-500m
county,hard,54.71493285237891,06023,06023,True,06023,True,False,1.0,06023,True,False,50-100m
zcta,boundary,9.572207089802033,10588,10588,True,10588,True,True,0.88,,False,True,0-10m
zcta,edge,91.39560045204222,95060,95060,True,95060,True,False,1.0,95060,True,False,50-100m
zcta,medium,255.31125354936873,34653,34653,True,34653,True,False,1.0,34653,True,False,100-500m
tract,easy,504.17189491166357,12001001519,12001001519,True,12001001519,True,False,1.0,12001001519,True,False,>500m
county,medium,328.2749149697138,17043,17043,True,17043,True,False,1.0,17043,True,False,100-500m
county,easy,8477.778764578772,48213,48213,True,48213,True,False,1.0,48213,True,False,>500m
tract,easy,619.0379212243259,12127091030,12127091030,True,12127091030,True,False,1.0,12127091030,True,False,>500m
tract,easy,507.6491790389916,12021010108,12021010108,True,12021010108,True,False,1.0,12021010108,True,False,>500m
zcta,hard,61.5669077716514,34956,34956,True,34956,True,False,1.0,34956,True,False,50-100m
zcta,easy,169.49046724091576,45055,45055,True,45055,True,False,1.0,45055,True,False,100-500m
county,easy,9104.549496945234,48461,48461,True,48461,True,False,1.0,48461,True,False,>500m
county,medium,359.321334383106,13201,13201,True,13201,True,False,1.0,13201,True,False,100-500m
