noise_m,layer,difficulty,dist_to_boundary_m,original_label,noisy_label,flipped
5,tract,hard,84.34822580986308,12065990000,12065990000,False
5,tract,hard,72.12241365420296,12086018601,12086018601,False
5,zcta,medium,256.41753655357263,34472,34472,False
5,tract,easy,982.9710920032925,39139001200,39139001200,False
5,tract,easy,500.1455223088277,42003517000,42003517000,False
5,county,medium,467.1132224762089,39069,39069,False
5,county,hard,89.45107764081092,13155,13155,False
5,county,medium,400.83239288989637,36023,36023,False
5,tract,hard,69.40299794089186,12115000406,12115000406,False
5,zcta,medium,255.31125354936873,34653,34653,False
5,county,hard,89.35341797174637,42045,42045,False
5,tract,easy,315.88288675311827,48339692006,48339692006,False
5,county,medium,497.9823017221093,13279,13279,False
5,county,easy,4739.347304491133,36109,36109,False
5,tract,edge,29.21518584075002,48303010301,48303010301,False
5,tract,hard,90.37116303302352,12005000201,12005000201,False
5,county,easy,10833.78847371912,17049,17049,False
5,zcta,medium,393.65937147597566,32312,32312,False
5,tract,medium,117.2134167560359,36029011000,36029011000,False
5,tract,hard,70.56817355676135,17031831400,17031831400,False
5,zcta,hard,67.40325783477904,96056,96056,False
5,county,medium,485.68538821032934,48279,48279,False
5,county,medium,295.9727005736089,12115,12115,False
5,county,easy,6101.513157087397,36009,36009,False
5,zcta,medium,316.4140426185121,32821,32821,False
5,county,easy,10026.56496344547,48399,48399,False
5,zcta,medium,312.5648239659323,78959,78959,False
5,tract,easy,514.6965223122301,48029191412,48029191412,False
5,zcta,medium,497.73544580110956,33867,33867,False
5,county,easy,5428.180625280165,36105,36105,False
5,zcta,hard,62.36872605485908,77326,77326,False
5,tract,hard,37.16742483321389,12005002710,12005002710,False
5,zcta,hard,30.763707216199425,33414,33414,False
5,zcta,boundary,0.343232701375092,19136,19136,False
5,zcta,edge,89.33731667085435,78070,78070,False
5,tract,medium,258.3672832570015,39113040303,39113040303,False
5,county,easy,5196.121874282133,48041,48041,False
5,county,easy,4895.1778074553995,12105,12105,False
5,tract,easy,601.9691515033415,12011060801,12011060801,False
5,zcta,medium,207.52227181082617,30093,30093,False
5,county,hard,24.325371240752563,48081,48081,False
5,county,hard,11.544911827059618,48503,48503,False
5,county,easy,1567.1471542507604,48091,48091,False
5,tract,hard,49.468949455146095,39113165100,39113165100,False
5,county,medium,334.75373230606255,48307,48307,False
5,tract,hard,73.11643467660502,12115001909,12115001909,False
5,tract,edge,83.76692643630028,48331950300,48331950300,False
5,tract,easy,189.1945901169611,12099004204,12099004204,False
5,county,easy,6908.944952104864,12037,12037,False
5,zcta,easy,1552.8642958534558,76626,76626,False
5,tract,medium,259.31438351613167,12033003505,12033003505,False
5,tract,easy,137.9213595242613,36047050300,36047050300,False
5,county,hard,53.56552572525257,48111,48111,False
5,tract,hard,20.366971979337357,39035141602,39035141602,False
5,zcta,medium,468.3100057122261,12821,12821,False
5,county,hard,67.33686843074474,48175,48175,False
5,zcta,boundary,0.5086787983623202,77988,77988,False
5,tract,easy,549.8656109310735,42003521401,42003521401,False
5,tract,medium,102.63320314982616,42101008302,42101008302,False
5,tract,hard,30.700290705719144,39081001000,39081001000,False
5,tract,easy,164.81557386168097,48453037100,48453037100,False
5,county,easy,13121.698795206017,39169,39169,False
5,tract,easy,547.3549605283845,53011040908,53011040908,False
5,tract,easy,805.4886067013515,48469001504,48469001504,False
5,tract,hard,71.9624974881611,53065950500,53065950500,False
5,tract,hard,67.9645452788839,12011020211,12011020211,False
5,zcta,easy,855.6871089861428,13492,13492,False
5,zcta,medium,285.8211038973653,12935,12935,False
5,county,medium,142.96036072489534,39079,39079,False
5,tract,easy,585.65445355218,48091310100,48091310100,False
5,tract,easy,526.758351982518,42031160103,42031160103,False
5,county,easy,6304.053687378624,13189,13189,False
5,zcta,medium,171.12884354488278,13360,13360,False
5,zcta,hard,80.45005135337371,79326,79326,False
5,tract,medium,223.49672276371862,48201342200,48201342200,False
5,county,easy,14995.90357001733,48087,48087,False
5,zcta,easy,2716.251323914902,92266,92266,False
5,county,easy,3601.4113732618866,06015,06015,False
5,tract,hard,18.878859935714207,39161020600,39161020600,False
5,tract,easy,547.0992853989361,12099006005,12099006005,False
5,zcta,medium,471.97923950842505,12525,12525,False
5,tract,easy,308.26881272989897,48113014603,48113014603,False
5,county,easy,5694.411341365645,48107,48107,False
5,zcta,medium,383.1614550636443,61849,61849,False
5,zcta,boundary,9.77628298760778,33960,33960,False
5,county,easy,8648.562318561553,48111,48111,False
5,county,easy,6349.234446138584,48075,48075,False
5,tract,hard,57.98072317487661,12121970301,12121970301,False
5,county,hard,39.60180519228206,39085,39085,False
5,county,hard,40.85173559109968,12009,12009,False
5,county,medium,367.27867442426725,48213,48213,False
5,tract,easy,522.2646280465033,39017011131,39017011131,False
5,county,hard,34.344037035281815,04015,04015,False
5,county,hard,86.92862498110058,12005,12005,False
5,county,boundary,1.8159192083655653,48369,48369,False
5,tract,hard,55.91463292264847,39035112301,39035112301,False
5,county,medium,227.35663968013102,48341,48341,False
5,zcta,easy,533.6806030849245,16826,16826,False
5,tract,hard,18.64894363104811,48085030510,48085030510,False
5,tract,hard,93.70824415891369,48201552101,48201552101,False
5,tract,hard,38.196815206575224,13205090100,13205090100,False
5,county,easy,5122.8045465377145,39089,39089,False
5,zcta,hard,33.2914928142447,43981,43981,False
5,tract,hard,93.53570404709575,39097040600,39097040600,False
5,county,medium,339.12559687839746,39091,39091,False
5,county,boundary,6.218351214776167,48015,48477,True
5,zcta,easy,699.4664295571678,60437,60437,False
5,tract,medium,110.60562688411413,36047022200,36047022200,False
5,zcta,medium,300.05910038652604,32321,32321,False
5,tract,medium,388.9777024703534,48135001600,48135001600,False
5,tract,easy,1477.974798051363,39169003200,39169003200,False
5,zcta,easy,546.2919714887464,16411,16411,False
5,county,boundary,7.3041398379480125,48039,48039,False
5,county,hard,65.25816601241795,12105,12105,False
5,zcta,hard,69.39692697599664,43119,43119,False
5,zcta,easy,6729.272612934287,76943,76943,False
5,county,medium,305.4128457020385,39133,39133,False
5,tract,easy,609.8019091599083,13089023325,13089023325,False
5,zcta,medium,239.82886217953745,75247,75247,False
5,tract,medium,141.69904308952678,39061023702,39061023702,False
5,tract,medium,476.230836680231,48085030202,48085030202,False
5,zcta,boundary,9.872499162602505,45629,45629,False
5,county,medium,297.39922825652997,42061,42061,False
5,tract,medium,149.1733336163432,48201521501,48201521501,False
5,zcta,hard,45.95749673823386,76951,76951,False
5,tract,medium,400.5468028558793,48159950102,48159950102,False
5,tract,easy,749.2681932242956,39031961300,39031961300,False
5,zcta,boundary,1.25166904297896,60070,60070,False
5,tract,medium,256.8171439635012,48113011802,48113011802,False
5,tract,hard,22.014175545482658,42125744102,42125744102,False
5,zcta,easy,3994.5873820370884,75092,75092,False
5,tract,medium,260.4628331785942,48463950500,48463950500,False
5,county,boundary,1.4337136878852486,39147,39147,False
5,tract,easy,575.8860672255274,39061021801,39061021801,False
5,county,hard,90.54808722772285,48221,48221,False
5,tract,hard,46.93419815040362,36029009800,36029009800,False
5,county,hard,26.023002995928508,48419,48419,False
5,county,easy,977.4304105001447,48117,48117,False
5,county,easy,6180.840044631767,48451,48451,False
5,tract,easy,676.4436985454727,48029120504,48029120504,False
5,zcta,hard,17.005037463234473,33314,33314,False
5,tract,easy,534.3051148270057,12095016748,12095016748,False
5,tract,easy,2415.5926398199817,53029971900,53029971900,False
5,tract,easy,651.7993258776806,12117022206,12117022206,False
5,county,hard,37.17410001089281,48375,48375,False
5,tract,medium,114.64363860275905,06107000203,06107000203,False
5,tract,hard,26.775446293246365,06037214902,06037214902,False
5,zcta,hard,54.782394976125296,30477,30477,False
5,county,hard,61.380190356480405,48107,48107,False
5,tract,easy,594.144813794521,04013040532,04013040532,False
5,county,hard,63.951104826265095,39123,39123,False
5,zcta,easy,825.0417754914125,45662,45662,False
5,county,boundary,0.1153139454910606,48281,48281,False
5,zcta,medium,261.12721758253196,79561,79561,False
5,tract,medium,102.500257768643,12086004105,12086004105,False
5,tract,easy,620.3722333628873,39003011000,39003011000,False
5,tract,easy,682.4652389312604,12031016101,12031016101,False
5,zcta,easy,2963.4525042697064,44807,44807,False
5,zcta,hard,99.35732445032521,75249,75249,False
5,tract,edge,39.92629917818489,48499950700,48499950700,False
5,tract,hard,29.587367119752923,48085031508,48085031508,False
5,tract,medium,202.97371136375605,48339690207,48339690207,False
5,county,medium,379.42006092472155,48181,48181,False
5,tract,easy,165.72258171758202,12086018700,12086018700,False
5,tract,boundary,9.840621692360962,06065044930,06065044930,False
5,county,medium,300.6133422907075,17041,17041,False
5,county,easy,17473.991660182477,06047,06047,False
5,tract,medium,292.7007823099105,48061010205,48061010205,False
5,county,hard,12.608776750752897,13315,13315,False
5,tract,easy,1981.4716261507535,48471790402,48471790402,False
5,zcta,hard,36.15504045344651,45864,45864,False
5,tract,boundary,8.683539806958434,48201534203,48201534203,False
5,county,boundary,1.0482538206136989,53063,53063,False
5,county,hard,17.413478764312604,48419,48419,False
5,zcta,easy,670.2141941581353,62024,62024,False
5,county,boundary,0.3572756204961114,48233,48341,True
5,county,easy,5008.594570915877,48105,48105,False
5,county,hard,91.72829508805472,48065,48065,False
5,tract,boundary,0.1672226583032103,12071050105,12071050105,False
5,zcta,hard,85.96432748236256,77338,77338,False
5,tract,medium,167.71551942276076,48121020133,48121020133,False
5,county,medium,484.889867847665,39117,39117,False
5,county,hard,39.54829702327034,39129,39129,False
5,zcta,medium,181.10225160462505,77040,77040,False
5,tract,easy,544.3925341193757,42089300700,42089300700,False
5,zcta,easy,146.13156477598426,61037,61037,False
5,county,medium,354.90176183120826,48025,48025,False
5,county,hard,25.195520191751097,53043,53043,False
5,tract,easy,813.8409110715223,48015760302,48015760302,False
5,tract,easy,539.4182336492454,04015950703,04015950703,False
5,tract,medium,144.46757068829626,48201240904,48201240904,False
5,zcta,medium,264.16925806948433,43571,43571,False
5,zcta,medium,408.6363001706151,33177,33177,False
5,tract,hard,41.0634649317466,48039660614,48039660614,False
5,zcta,boundary,6.612435397682463,75844,75844,False
5,county,easy,2808.2694977269375,48033,48033,False
5,county,boundary,9.961833783371848,39149,39149,False
5,county,easy,4522.457713868872,13003,13003,False
5,tract,hard,30.47188812365533,48251130417,48251130417,False
5,zcta,medium,153.08553201090228,76939,76939,False
5,tract,easy,902.7420156620943,39091004200,39091004200,False
5,tract,easy,598.0588097805979,12009060201,12009060201,False
5,county,boundary,9.554030864635331,12015,12015,False
5,county,easy,10893.419417901549,48357,48357,False
5,county,hard,84.43313046168018,12001,12001,False
5,county,boundary,6.88035730619436,48473,48473,False
5,tract,hard,98.83027623786167,39085201500,39085201500,False
5,tract,boundary,5.699362118802052,12127090904,12127090904,False
5,county,easy,3303.6580515947417,48133,48133,False
5,zcta,hard,91.54047565755056,44555,44555,False
5,county,medium,260.3461710734942,48181,48181,False
5,tract,easy,229.10451655034655,06113010609,06113010609,False
5,county,easy,1196.0838825667138,06033,06033,False
5,tract,medium,226.95845285747683,13021010800,13021010800,False
5,county,easy,7800.812378215174,17133,17133,False
5,tract,easy,563.0703946485017,48085031666,48085031666,False
5,tract,medium,177.15902147759718,12103025112,12103025112,False
5,zcta,easy,959.8204261996447,43466,43466,False
5,county,easy,9104.549496945234,48461,48461,False
5,county,boundary,7.207650075841337,39103,39103,False
5,county,medium,114.38527471070405,48147,48147,False
5,tract,medium,358.0247762968507,39113130101,39113130101,False
5,tract,medium,108.19735279579926,36119003100,36119003100,False
5,tract,hard,44.15097666147213,06073009602,06073009602,False
5,county,hard,45.87055186184742,48213,48213,False
5,tract,medium,149.67593845496182,39083007302,39083007302,False
5,tract,hard,94.06134058762224,48061013902,48061013902,False
5,zcta,easy,3218.0069146134692,44057,44057,False
5,county,easy,11161.287476092924,12123,12123,False
5,county,hard,38.720633853952904,48229,48229,False
5,tract,medium,406.84383912098605,12117021404,12117021404,False
5,zcta,easy,1224.7545134062361,33172,33172,False
5,zcta,hard,67.81258589331898,10570,10570,False
5,county,hard,75.96838398546595,36013,36013,False
5,tract,easy,161.8053086162363,06087110602,06087110602,False
5,zcta,easy,881.8964692808781,85006,85006,False
5,tract,hard,79.09679399670883,48113014501,48113014501,False
5,tract,medium,151.47268074220037,36081038302,36081038302,False
5,county,easy,10958.520017214729,48329,48329,False
5,county,easy,1218.4975777421382,13243,13243,False
5,tract,hard,62.97566315536246,39099802100,39099802100,False
5,county,edge,63.24009417983682,12029,12029,False
5,tract,easy,228.58848355784502,12099003902,12099003902,False
5,tract,medium,150.705210624024,12081001204,12081001204,False
5,tract,easy,115.85787863756686,36061005502,36061005502,False
5,zcta,medium,387.78601333371495,43055,43055,False
5,zcta,easy,1348.20757974499,75050,75050,False
5,county,boundary,9.149348769385444,48315,48315,False
5,tract,edge,22.52582516472891,39057280300,39057280300,False
5,county,easy,8794.55377703778,12089,12089,False
5,zcta,easy,1480.638302796165,76051,76051,False
5,county,medium,133.66608020636744,48145,48145,False
5,county,easy,5353.178126859838,48179,48179,False
5,zcta,easy,983.3602977616976,77703,77703,False
5,zcta,edge,92.66261913983841,45830,45830,False
5,county,easy,7517.365297756865,39105,39105,False
5,zcta,easy,857.0752508289742,95405,95405,False
5,tract,easy,1598.5927208198257,48085031419,48085031419,False
5,tract,medium,344.2745782511761,39093023400,39093023400,False
5,tract,hard,38.58859019573613,48089750400,48089750400,False
5,tract,medium,183.0052444319398,48049950100,48049950100,False
5,tract,boundary,8.401680554766745,39035172202,39035172202,False
5,zcta,easy,117.560157620991,44881,44881,False
5,county,hard,70.97036492555117,39051,39051,False
5,county,hard,24.551125786864464,48121,48121,False
5,tract,hard,48.47039691759486,39095004701,39095004701,False
5,tract,hard,49.47364860717138,48029121115,48029121115,False
5,tract,easy,886.9823933621839,48339692604,48339692604,False
5,tract,medium,124.59785798531026,53053071707,53053071707,False
5,county,medium,388.8959233735057,39065,39065,False
5,county,easy,2887.1074637450156,48025,48025,False
5,county,hard,23.71902550666199,39063,39063,False
5,zcta,easy,2328.8459059937154,30153,30153,False
5,tract,medium,482.0763349870864,48491020116,48491020116,False
5,zcta,easy,1607.8364998543825,44875,44875,False
5,tract,easy,980.5218666601116,13275960502,13275960502,False
5,county,easy,2529.5577031166713,48501,48501,False
5,county,easy,6246.898791628948,39107,39107,False
5,tract,hard,78.57790498664515,39049006393,39049006393,False
5,zcta,easy,2658.9704619445743,79227,79227,False
5,tract,boundary,0.8832165920037042,39155921300,39155921200,True
5,tract,medium,167.5509124297068,48329010107,48329010107,False
5,zcta,easy,184.44737061376915,44687,44687,False
5,tract,easy,502.20395852301124,13121001002,13121001002,False
5,tract,easy,805.9209188170879,12035060218,12035060218,False
5,zcta,easy,2049.0963719028,78704,78704,False
5,tract,medium,177.8532029119506,48019000301,48019000301,False
5,tract,hard,73.84898805542616,12095018800,12095018800,False
5,tract,hard,17.653679649231076,12086016100,12086016100,False
5,tract,easy,1047.417455056303,39023002902,39023002902,False
5,county,edge,31.288714046420594,13273,13273,False
5,tract,boundary,6.537512563235835,06037577300,06037577300,False
5,tract,medium,208.98960681241735,48453034200,48453034200,False
5,zcta,medium,354.6649173367349,75217,75217,False
5,tract,boundary,2.6403854937349878,13067030907,13067030907,False
5,county,edge,23.187177238655572,13193,13193,False
5,tract,easy,513.6697408396163,04019002906,04019002906,False
5,zcta,hard,64.89174401865843,18053,18053,False
5,zcta,easy,2753.0009603837643,43986,43986,False
5,zcta,hard,45.903110392261745,30545,30545,False
5,tract,boundary,7.883984088645327,12105011100,12105011100,False
5,tract,boundary,8.600159089790013,39013011000,39013011000,False
5,zcta,hard,10.496940235648,98025,98025,False
5,tract,hard,16.799664264105253,42017100211,42017100211,False
5,zcta,boundary,1.0883894329397747,43519,43519,False
5,zcta,easy,728.351345898587,45835,45835,False
5,tract,boundary,6.419464578022859,12091022600,12091022600,False
5,tract,easy,708.2687592152125,12121970401,12121970401,False
5,county,boundary,9.252766592120931,48369,48369,False
5,tract,easy,597.1046475458456,12127090808,12127090808,False
5,tract,medium,394.95788568793154,39095002500,39095002500,False
5,zcta,easy,1148.9160322616724,78116,78116,False
5,tract,hard,49.96935782661698,12099006203,12099006203,False
5,zcta,hard,99.94707339840737,33855,33855,False
5,tract,hard,13.323837418550008,12071001801,12071001801,False
5,county,easy,4920.563932112594,12101,12101,False
5,county,easy,10173.799262458224,48459,48459,False
5,zcta,hard,64.76605470705235,90013,90013,False
5,zcta,easy,2645.1034830643493,44691,44691,False
5,tract,easy,882.3909033617521,48201330400,48201330400,False
5,tract,boundary,0.15286446980344623,12081001909,12081001909,False
5,zcta,easy,133.07056039904066,33854,33854,False
5,tract,boundary,4.907189480139433,53033007201,53033007201,False
5,tract,easy,514.9605458122454,17031824508,17031824508,False
5,zcta,easy,1093.05367521944,13660,13660,False
5,tract,medium,248.71762944027353,48201321200,48201321200,False
5,county,easy,7963.156980608953,48213,48213,False
5,county,hard,19.330757471500533,48093,48093,False
5,tract,boundary,2.282157107152322,12071050315,12071050315,False
5,zcta,easy,601.8141607350882,75977,75977,False
5,tract,easy,828.1505355370846,12083001103,12083001103,False
5,zcta,medium,170.0289995606201,92653,92653,False
5,tract,easy,629.2728371190856,12057011018,12057011018,False
5,county,easy,10339.111164309827,48381,48381,False
5,county,boundary,5.724474500879332,48297,48297,False
5,county,boundary,8.427046960644274,13079,13079,False
5,zcta,medium,137.19933628088492,45882,45882,False
5,zcta,medium,159.120067592446,32065,32065,False
5,tract,medium,327.61307090925493,17031730500,17031730500,False
5,county,easy,11252.943969228028,48383,48383,False
5,zcta,boundary,3.766178439437073,78675,78675,False
5,county,easy,1157.1871663957922,48417,48417,False
5,tract,easy,573.2481428862002,39061005600,39061005600,False
5,tract,easy,534.538451061157,06037400801,06037400801,False
5,county,medium,107.16714022680162,48059,48059,False
5,zcta,medium,497.90742324304705,76205,76205,False
5,county,medium,439.0496400263772,48439,48439,False
5,tract,easy,692.9061368801437,06059032059,06059032059,False
5,county,medium,152.12697881017758,48189,48189,False
5,county,easy,746.908293998652,12035,12035,False
5,county,hard,58.66830737617068,48137,48137,False
5,tract,hard,64.32195960854277,12086000206,12086000206,False
5,zcta,medium,422.5193224536762,77013,77013,False
5,zcta,edge,85.77334056309901,44721,44721,False
5,zcta,medium,225.79927206893697,78140,78140,False
5,county,easy,11022.483160076434,48177,48177,False
5,tract,easy,503.2697834812983,48167725700,48167725700,False
5,tract,easy,660.8804247688212,06029000912,06029000912,False
5,tract,easy,270.56925571576966,48201410101,48201410101,False
5,county,easy,2581.452675380707,48251,48251,False
5,county,easy,20224.871925932377,48429,48429,False
5,zcta,medium,357.3747901167874,76704,76704,False
5,county,easy,568.5811116551591,13221,13221,False
5,tract,easy,231.44220852148868,12103026917,12103026917,False
5,tract,boundary,1.9878047578855418,06077005108,06077005108,False
5,county,boundary,2.6856594782720205,13099,13037,True
5,zcta,medium,221.32036118227435,32966,32966,False
5,county,easy,6733.939466740058,48455,48455,False
5,zcta,edge,24.04102368572506,77090,77090,False
5,zcta,easy,1178.9445079994828,98320,98320,False
5,tract,easy,1725.7198155719952,17127970100,17127970100,False
5,zcta,easy,4081.2677197224793,96047,96047,False
5,county,medium,202.77752833334392,48323,48323,False
5,zcta,boundary,7.720781956883207,78573,78573,False
5,zcta,easy,2365.726647155394,45619,45619,False
5,tract,easy,609.5401209815627,12035060220,12035060220,False
5,tract,hard,43.01221023824643,48201980300,48201980300,False
5,tract,hard,35.952330314111485,42089301003,42089301003,False
5,zcta,medium,287.8547673982183,45433,45433,False
5,tract,medium,140.87664183456104,12011100700,12011100700,False
5,county,medium,447.22132766575464,17009,17009,False
5,tract,hard,43.07068602173127,17031730600,17031730600,False
5,zcta,easy,192.07225352353768,15088,15088,False
5,tract,hard,35.0302320918931,12011043302,12011043302,False
5,tract,edge,11.244055763156728,36005023501,36005023501,False
5,county,medium,150.047575534995,06005,06005,False
5,county,hard,57.5401536188543,48267,48267,False
5,zcta,hard,53.97055325781509,77493,77493,False
5,tract,boundary,5.56359350558206,13277960900,13277960900,False
5,tract,easy,252.7621366367081,06013371000,06013371000,False
5,tract,medium,123.8258253107947,06001441200,06001441200,False
5,county,medium,275.77031899043266,48451,48451,False
5,tract,hard,26.309475648408803,12127090402,12127090402,False
5,county,edge,86.52119731011948,12029,12029,False
5,tract,easy,678.8781070143154,39017010901,39017010901,False
5,county,medium,316.0689439711002,12033,12033,False
5,zcta,easy,2342.4857172818038,44515,44515,False
5,tract,hard,47.87466539239674,12105012127,12105012127,False
5,tract,edge,69.08091312643967,48179950100,48179950100,False
5,tract,hard,84.6846384902888,48113015208,48113015208,False
5,tract,easy,500.3156182274166,48027022900,48027022900,False
5,county,medium,221.8752689728178,39123,39123,False
5,county,easy,7051.934234145216,48091,48091,False
5,tract,boundary,4.480331350305855,48355001000,48355001000,False
5,tract,easy,264.5768333617438,06037800205,06037800205,False
5,county,hard,55.27050130162438,36103,36103,False
5,county,medium,329.1720887283534,12117,12117,False
5,county,hard,55.32671865649509,48189,48189,False
5,zcta,medium,458.76178277466994,78258,78258,False
5,zcta,easy,620.9367011945226,33322,33322,False
5,tract,boundary,5.802580223487599,48241950500,48241950400,True
5,zcta,easy,196.25955863471023,45360,45360,False
5,tract,hard,21.576765772199977,42017106300,42017106300,False
5,tract,edge,75.45713368807733,39057280300,39057280300,False
5,county,easy,5856.7562392353575,13091,13091,False
5,county,easy,7446.990601206142,06105,06105,False
5,zcta,medium,260.4963702237173,78588,78588,False
5,tract,medium,377.78438055994326,12081001001,12081001001,False
5,tract,medium,235.55118701433628,39003011400,39003011400,False
5,zcta,hard,38.61491760517711,43779,43779,False
5,tract,easy,605.2107224546824,06037650901,06037650901,False
5,zcta,medium,271.293639285366,62217,62217,False
5,county,medium,357.1530510535848,48183,48183,False
5,tract,medium,490.68362121636034,12001002221,12001002221,False
5,zcta,edge,70.33091634711333,31503,31503,False
5,tract,easy,508.320185222498,48021950402,48021950402,False
5,tract,medium,108.68407312085805,48303010414,48303010414,False
5,county,hard,19.804164884711547,39123,39123,False
5,county,medium,407.430836288296,48493,48493,False
5,zcta,medium,162.76508937076753,43908,43908,False
5,county,hard,43.313577543788604,39065,39065,False
5,zcta,boundary,6.1917197644658675,79854,79843,True
5,tract,easy,501.4378457655644,48113014405,48113014405,False
5,county,medium,355.6527517995755,48429,48429,False
5,zcta,hard,37.14347677921663,75052,75052,False
5,county,edge,45.88522553869323,12087,12087,False
5,county,hard,35.70052962621174,48117,48117,False
5,tract,boundary,1.7363373903956354,12015010503,12015010100,True
5,zcta,hard,86.32426416165494,19074,19074,False
5,county,medium,171.16206394880783,17105,17105,False
5,county,easy,19089.35302417693,48283,48283,False
5,county,boundary,4.962448369399068,48195,48195,False
5,zcta,easy,586.2996739056308,33616,33616,False
5,county,hard,10.352905710207233,13155,13155,False
10,tract,hard,31.28382546666443,39153505600,39153505600,False
10,tract,boundary,4.091339048695022,48493000300,48493000300,False
10,tract,easy,853.9033332775441,48201554407,48201554407,False
10,tract,easy,533.287263727673,12095012304,12095012304,False
10,county,hard,25.624337862222024,48423,48423,False
10,county,medium,372.76192948780164,48297,48297,False
10,county,hard,79.2300772106807,48491,48491,False
10,tract,easy,595.5784072691102,06037501501,06037501501,False
10,county,easy,2267.1215160720326,12055,12055,False
10,county,boundary,7.548874221125706,13061,13061,False
10,county,easy,7341.183901401223,36039,36039,False
10,county,easy,4273.243259673592,48457,48457,False
10,tract,hard,75.07648068211574,39153502800,39153502800,False
10,county,hard,39.21258782157405,12047,12047,False
10,zcta,easy,680.3449879373834,30750,30750,False
10,county,edge,80.45787794477832,13027,13027,False
10,county,easy,1142.1979991596845,48287,48287,False
10,county,medium,301.9351789055984,39091,39091,False
10,county,easy,12367.73804128222,39041,39041,False
10,county,easy,11647.736174516456,48125,48125,False
10,county,easy,4850.865899721378,48057,48057,False
10,county,medium,121.38426338073373,48383,48383,False
10,tract,medium,152.79285172043967,12086000508,12086000508,False
10,zcta,medium,303.2408905510376,34758,34758,False
10,tract,boundary,5.888809940681226,06013360101,06013359103,True
10,county,hard,85.22030712303649,13243,13243,False
10,county,hard,31.370347586607362,48005,48005,False
10,zcta,hard,63.986372143520796,95944,95944,False
10,county,medium,300.5026638320031,13073,13073,False
10,tract,easy,574.9522234203863,39151713900,39151713900,False
10,county,medium,257.7058082563505,48121,48121,False
10,county,hard,30.640815377425767,17093,17093,False
10,county,hard,14.590282969515052,53017,53017,False
10,zcta,boundary,4.9786753084745605,93205,93205,False
10,tract,easy,141.7647023442081,17043841110,17043841110,False
10,zcta,medium,198.16426158614203,12993,12993,False
10,tract,hard,74.53780411746884,48167721211,48167721211,False
10,county,easy,11864.79204466453,39087,39087,False
10,county,hard,19.090406831423856,48351,48351,False
10,county,easy,20285.107340550563,06019,06019,False
10,county,medium,135.3551556981424,48423,48423,False
10,zcta,boundary,3.0549798772977845,61743,61743,False
10,tract,boundary,4.977311504501801,12085001302,12085001302,False
